lat,lon,time,frequency
10.4628039,76.2461714,7,5
10.5211593,76.2535489,8,4
10.4694444,76.2296655,22,4
10.5264084,76.1757407,7,4
10.4996778,76.2124748,10,5
10.5060777,76.2700675,19,3
10.548832,76.1619399,17,3
10.5237229,76.2454213,18,2
10.4612282,76.2433479,3,2
10.5373761,76.271499,4,2
10.5018329,76.2208851,21,2
10.5206084,76.2552828,10,4
10.5383882,76.2721382,6,3
10.5583476,76.2573636,11,3
10.5234621,76.2315149,5,3
10.5301247,76.232156,12,1
10.4915081,76.2401705,19,2
10.5247075,76.1964475,17,3
10.5172863,76.2308387,2,3
10.5743214,76.2313773,0,3
10.4878357,76.2763978,23,4
10.4725181,76.1939728,16,3
10.4864226,76.2419739,5,1
10.5352961,76.2041018,7,1
10.5122966,76.1967905,16,4
10.497482,76.2506239,17,1
10.5061423,76.2755613,23,5
10.540265,76.2197884,19,1
10.5692502,76.1915674,13,3
10.5434613,76.2306383,0,5
10.5655578,76.2041977,21,5
10.5928117,76.1847048,5,4
10.5133563,76.2150951,5,3
10.5680389,76.2520088,6,5
10.5230184,76.2122311,9,1
10.5394026,76.2027046,22,2
10.5053031,76.2293242,20,5
10.5528169,76.276047,15,5
10.4628039,76.2461714,7,3
10.5042019,76.1828735,7,1
10.5314051,76.2514896,18,4
10.5300716,76.2622495,17,2
10.4662873,76.2191643,2,3
10.4649607,76.2309784,10,3
10.535712,76.2675292,21,1
10.5825764,76.1937282,17,1
10.5234044,76.2078094,0,1
10.5073942,76.278295,5,1
10.467975,76.2354917,23,5
10.4666128,76.2060565,21,3
10.4736092,76.2098274,2,5
10.5681236,76.1668024,12,3
10.5348825,76.242042,15,2
10.5652238,76.1954078,21,3
10.5045413,76.2764567,2,2
10.4970067,76.2721104,10,5
10.5326774,76.2015583,12,3
10.5568787,76.1740046,9,3
10.4632616,76.1848303,1,5
10.5364205,76.2806343,20,1
10.4798331,76.2459706,4,3
10.5717266,76.219952,12,1
10.5428152,76.2719376,16,3
10.4919768,76.2278791,14,2
10.5139841,76.212674,18,1
10.4723691,76.2398944,7,2
10.4983976,76.234248,14,4
10.5564952,76.1533401,15,5
10.5644498,76.1901336,1,5
10.5857354,76.206178,3,5
10.4938038,76.2097964,12,1
10.5259999,76.1909793,21,1
10.462825,76.2819836,23,5
10.5492656,76.2628997,20,2
10.5908902,76.2174801,13,3
10.5377897,76.2274387,11,2
10.4875161,76.2059701,8,3
10.4969295,76.2578943,18,1
10.5869113,76.267447,1,1
10.5293527,76.2662629,23,5
10.5527435,76.1537779,13,4
10.524397,76.2038202,10,2
10.5540891,76.1931693,8,4
10.5474275,76.26253,5,4
10.527274,76.201902,18,4
10.5481891,76.1530894,14,5
10.5625936,76.2665933,8,4
10.4858756,76.2234035,7,3
10.5626236,76.2027725,11,2
10.5235356,76.2223069,8,3
10.4851895,76.2048377,15,4
10.5353524,76.2077195,2,3
10.46471,76.1955711,5,3
10.5188533,76.1971724,0,4
10.5085332,76.1960006,5,1
10.4788569,76.2147103,9,3
